,x1,y1,x2,y2,x3,y3,x4,y4,category,difficult
0,1131,237,1287,237,1287,361,1131,361,Others,0
1,1596,440,1678,405,1720,502,1638,538,Others,0
2,545,558,748,373,829,461,626,646,DC4S,0
3,1693,528,1807,482,1865,625,1751,671,Others,0
4,1867,864,1980,863,1983,1166,1870,1168,ItemSize,0
5,406,921,525,921,525,1118,406,1118,NAK,0
6,1871,1213,1878,1145,1956,1152,1950,1221,Others,0
7,1730,1463,1797,1463,1797,1536,1730,1536,Others,0
8,546,1496,624,1415,833,1619,755,1699,Others,0
9,1080,1713,1276,1713,1276,1823,1080,1823,Others,0
