,x1,y1,x2,y2,x3,y3,x4,y4,category,difficult
0,676,692,957,433,1047,531,766,790,ItemSize,0
1,1579,564,1679,564,1679,670,1579,670,Others,0
2,1617,607,1722,607,1722,715,1617,715,Others,0
3,621,970,630,884,732,895,722,982,Others,0
4,618,962,725,962,725,1063,618,1063,Others,0
5,1727,874,1855,873,1857,1165,1730,1166,Others,0
6,626,1026,717,1026,717,1102,626,1102,Others,0
7,693,1344,801,1260,947,1449,840,1532,Others,0
8,1497,1458,1662,1319,1740,1412,1575,1551,NAK,0
9,1087,1630,1092,1521,1332,1531,1328,1640,DC4S,0
