,x1,y1,x2,y2,x3,y3,x4,y4,category,difficult
0,1225,320,1319,320,1319,392,1225,392,Others,0
1,857,428,994,360,1027,427,890,495,DC4S,0
2,1485,436,1527,373,1703,490,1661,553,Others,0
3,1665,490,1810,490,1810,634,1665,634,Others,0
4,1761,621,1808,621,1808,685,1761,685,Others,0
5,1788,659,1836,659,1836,723,1788,723,Others,0
6,1808,712,1858,705,1868,785,1818,791,Others,0
7,1829,760,1882,760,1882,817,1829,817,Others,0
8,554,924,616,924,616,1032,554,1032,NAK,0
9,1479,1584,1571,1549,1596,1611,1504,1647,Others,0
