,x1,y1,x2,y2,x3,y3,x4,y4,category,difficult
0,805,263,1151,151,1206,321,859,433,Others,0
1,1346,341,1389,241,1647,350,1604,450,Others,0
2,1789,674,1933,638,1989,862,1845,898,NAK,0
3,426,876,463,717,565,741,527,900,Others,0
4,384,879,556,879,556,1082,384,1082,Others,0
5,1840,1133,1857,949,2022,964,2005,1148,Others,0
6,422,1072,527,1072,527,1180,422,1180,Others,0
7,433,1152,553,1152,553,1271,433,1271,Others,0
8,1792,1348,1841,1179,1971,1216,1922,1385,Others,0
9,473,1252,580,1252,580,1357,473,1357,Others,0
10,1754,1429,1810,1265,1919,1303,1863,1466,Others,0
11,521,1322,607,1322,607,1423,521,1423,Others,0
12,725,1666,776,1555,1041,1678,990,1788,Others,0
13,1345,1652,1509,1619,1537,1758,1373,1791,Others,0
