1020,254,1219,230,1234,351,1034,375,NAK,0
1515,419,1595,312,1816,477,1736,584,DC4S,0
483,691,666,436,776,515,593,770,Others,0
423,744,596,744,596,932,423,932,Others,0
1888,880,1988,867,1998,945,1897,958,Others,0
1891,927,1995,913,2006,992,1903,1006,Others,0
422,1023,554,1010,576,1225,444,1238,Others,0
1820,1365,1887,1365,1887,1432,1820,1432,Others,0
1695,1510,1777,1510,1777,1593,1695,1593,Others,0
762,1696,826,1568,1011,1661,947,1789,Others,0
953,1681,1093,1681,1093,1796,953,1796,Others,0
1128,1711,1482,1673,1494,1784,1140,1822,ItemSize,0
