,x1,y1,x2,y2,x3,y3,x4,y4,category,difficult
0,1216,352,1450,352,1450,567,1216,567,Others,0
1,1002,426,1195,389,1216,498,1023,535,NAK,0
2,1393,525,1458,414,1689,548,1624,659,DC4S,0
3,809,470,978,470,978,632,809,632,Others,0
4,693,738,734,584,842,613,801,767,Others,0
5,1643,639,1786,639,1786,777,1643,777,Others,0
6,630,801,711,680,790,733,709,854,ItemSize,0
7,535,803,765,803,765,1039,535,1039,Others,0
8,1746,870,1851,870,1851,976,1746,976,Others,0
9,606,1093,696,1086,701,1154,612,1161,Others,0
10,1695,1031,1906,1031,1906,1249,1695,1249,Others,0
11,615,1134,709,1134,709,1211,615,1211,Others,0
12,1644,1372,1719,1228,1810,1275,1735,1420,Others,0
13,1632,1329,1718,1329,1718,1445,1632,1445,Others,0
14,1480,1451,1617,1451,1617,1581,1480,1581,Others,0
15,864,1606,903,1464,1200,1545,1161,1687,Others,0
16,1162,1563,1496,1496,1521,1618,1187,1685,ItemSize,0
