,x1,y1,x2,y2,x3,y3,x4,y4,category,difficult
0,1232,521,1245,394,1418,412,1405,539,Others,0
1,1521,602,1624,524,1738,676,1635,753,Others,0
2,1620,658,1717,634,1746,750,1649,774,Others,0
3,1651,694,1766,680,1781,802,1667,816,Others,0
4,575,1091,647,715,778,740,706,1116,ItemSize,0
5,1740,1047,1816,1047,1816,1141,1740,1141,Others,0
6,672,1238,763,1238,763,1324,672,1324,Others,0
7,664,1309,764,1241,871,1399,772,1467,Others,0
8,1402,1501,1598,1382,1656,1478,1460,1597,Others,0
9,1000,1606,1021,1495,1227,1534,1206,1645,Others,0
